press,title,naver_news_text,naver_news_url,body,press_html,title_html,body_html,label
파이낸셜뉴스,"삼성SDI ""전고체 등 초격차 기술 공개"" [CES 2025]",네이버뉴스,https://n.news.naver.com/mnews/article/014/0005293961?sid=101,,파이낸셜뉴스,"삼성SDI ""전고체 등 초격차 기술 공개"" [CES 2025]","CES에서 배터리 혁신기술 공개
삼성SDI가 미국 라스베이거스에서 열린 세계 최대 가전·정보기술(IT) 박람회 'CES 2025'에서 전시한 혁신상 제품들. 삼성SDI 제공
[파이낸셜뉴스] 삼성SDI는 7~9일(현지시간) 미국 라스베이거스에서 열린 세계 최대 가전·정보기술(IT) 박람회 'CES 2025'에서 혁신 배터리 제품과 기술을 선보였다고 10일 밝혔다. 삼성SDI는 라스베이거스 윈 호텔 내 전시회에 원통형 배터리, 전기차용 각형 배터리, 전력용 에너지저장장치(ESS) 솔루션 SBB 1.5 제품 등을 전시했다.
특히 전시장에는 'CES 혁신상'을 받은 배터리 관련 대표 제품들과 큰 관심을 받고 있는 전고체 배터리 기술도 공개됐다. 해당 제품들을 보고 초청 받은 관계자들이 놀랐다는 후문이다.
삼성SDI는 혁신 설계와 공정 기술을 적용, 안전성과 성능을 동시에 잡은 고밀도 장수명 전기차용 각형 배터리와 무선통신 기술을 통해 구조를 단순화해 생산 효율과 품질을 높인 전기차 배터리 모듈 등도 함께 전시했다. 또 전력망에 연결만 하면 바로 사용할 수 있고 안전성도 대폭 향상된 컨테이너식 ESS SBB 1.5, 고출력·고속충전 기술을 구형한 원통형 배터리도 소개했다.
삼성SDI 관계자는 ""이번 CES 2025 전시 테마를 '초격차 기술로 지속가능한 미래 실현'으로 정하고 혁신 기술력을 선보이는 데 집중했다""며 ""최근 전기차 캐즘(수요 일시 둔화), 미국 트럼프 정부 출범 등에 따른 불확실성 등 여러 악재로 인해 배터리 업계가 어려운 시기를 거치고 있으나 선제적인 기술 혁신을 통해 미래를 준비하겠다는 의지를 담았다""고 말했다.",CES2025
파이낸셜뉴스,"삼성SDI,CES 2025서 혁신 배터리 기술 공개",네이버뉴스,https://n.news.naver.com/mnews/article/014/0005293961?sid=101,,파이낸셜뉴스,"삼성SDI ""전고체 등 초격차 기술 공개"" [CES 2025]","CES에서 배터리 혁신기술 공개
삼성SDI가 미국 라스베이거스에서 열린 세계 최대 가전·정보기술(IT) 박람회 'CES 2025'에서 전시한 혁신상 제품들. 삼성SDI 제공
[파이낸셜뉴스] 삼성SDI는 7~9일(현지시간) 미국 라스베이거스에서 열린 세계 최대 가전·정보기술(IT) 박람회 'CES 2025'에서 혁신 배터리 제품과 기술을 선보였다고 10일 밝혔다. 삼성SDI는 라스베이거스 윈 호텔 내 전시회에 원통형 배터리, 전기차용 각형 배터리, 전력용 에너지저장장치(ESS) 솔루션 SBB 1.5 제품 등을 전시했다.
특히 전시장에는 'CES 혁신상'을 받은 배터리 관련 대표 제품들과 큰 관심을 받고 있는 전고체 배터리 기술도 공개됐다. 해당 제품들을 보고 초청 받은 관계자들이 놀랐다는 후문이다.
삼성SDI는 혁신 설계와 공정 기술을 적용, 안전성과 성능을 동시에 잡은 고밀도 장수명 전기차용 각형 배터리와 무선통신 기술을 통해 구조를 단순화해 생산 효율과 품질을 높인 전기차 배터리 모듈 등도 함께 전시했다. 또 전력망에 연결만 하면 바로 사용할 수 있고 안전성도 대폭 향상된 컨테이너식 ESS SBB 1.5, 고출력·고속충전 기술을 구형한 원통형 배터리도 소개했다.
삼성SDI 관계자는 ""이번 CES 2025 전시 테마를 '초격차 기술로 지속가능한 미래 실현'으로 정하고 혁신 기술력을 선보이는 데 집중했다""며 ""최근 전기차 캐즘(수요 일시 둔화), 미국 트럼프 정부 출범 등에 따른 불확실성 등 여러 악재로 인해 배터리 업계가 어려운 시기를 거치고 있으나 선제적인 기술 혁신을 통해 미래를 준비하겠다는 의지를 담았다""고 말했다.",CES2025
연합뉴스,"[CES 2025] 삼성SDI, 첨단 각형 배터리·전고체 배터리 공개",네이버뉴스,https://n.news.naver.com/mnews/article/001/0015152718?sid=101,,연합뉴스,"삼성SDI, CES 2025서 혁신 배터리 기술 공개","(서울=연합뉴스) 삼성SDI가 미국 라스베이거스에서 열린 세계 최대 정보기술·가전 전시회 CES 2025에서 차세대 전고체 배터리 등 혁신 제품과 기술을 선보였다고 10일 밝혔다. 사진은 삼성SDI CES 2025 전시장 전경. 2025.1.10 [삼성SDI 제공. 재판매 및 DB 금지]
photo@yna.co.kr",CES2025
전자신문,"삼성SDI,CES 2025서 혁신 배터리 기술 공개",네이버뉴스,https://n.news.naver.com/mnews/article/030/0003274999?sid=105,,전자신문,"[CES 2025] 삼성SDI, 첨단 각형 배터리·전고체 배터리 공개","삼성SDI가 CES 2025에서 전시한 전기차 배터리 셀투팩(Cell to Pack) 컨셉 제품 (삼성SDI 제공)
삼성SDI는 세계 최대 전자·IT 전시회 CES 2025 기간 중 라스베이거스 중심가에 위치한 윈호텔에 고객 초청 전시회를 열고 원통형 배터리, 전기차용 각형 배터리, 전력용 에너지저장장치(ESS) 솔루션인 SBB 1.5 제품 등 혁신 제품과 기술을 선보였다고 10일 밝혔다.
전시장에는 'CES 혁신상'을 수상한 배터리 관련 대표 제품이 공개됐다. 특히 고밀도 장수명 전기차용 각형 배터리(PRiMX680-EV)와 무선통신 기술을 통해 구조를 단순화해 생산 효율과 품질을 높인 전기차 배터리 모듈(PRiMX680 모듈)이 관심을 끌었다고 회사는 설명했다.
또 전력망에 연결만 하면 바로 사용할 수 있고 안전성도 대폭 향상된 컨테이너식 ESS 'SBB 1.5'와 고출력·고속충전 기술을 구형한 원통형 배터리(PRiMX50U-Power)도 전시됐다.
독자적인 무음극 기술로 업계 최고 수준 에너지 밀도를 구현한 전고체 배터리도 선보였다. 삼성SDI는 지난 2023년 말부터 고객사들에게 샘플을 공급하며 2027년 상용화를 목표하고 있다.
삼성SDI 관계자는 “전시 테마를 '초격차 기술로 지속가능한 미래 실현'으로 정하고 혁신 기술력을 선보이는 데 집중했다”며 “최고의 배터리 기술력과 품질을 직접 확인한 고객들로부터 좋은 반응을 얻을 수 있었다”고 말했다.",CES2025
연합뉴스,"삼성SDI, 혁신 배터리 대거 전시",네이버뉴스,https://n.news.naver.com/mnews/article/001/0015152716?sid=101,,연합뉴스,"삼성SDI, CES 2025서 혁신 배터리 기술 공개","(서울=연합뉴스) 삼성SDI가 미국 라스베이거스에서 열린 세계 최대 정보기술·가전 전시회 CES 2025에서 차세대 전고체 배터리 등 혁신 제품과 기술을 선보였다고 10일 밝혔다. 사진은 삼성SDI CES 2025 전시장. 2025.1.10 [삼성SDI 제공. 재판매 및 DB 금지]
photo@yna.co.kr",CES2025
이데일리,‘AI 동맹군’ 확보 나선 유영상…SKT ‘AI 인프라 전략’ 드라이브[CES2...,네이버뉴스,https://n.news.naver.com/mnews/article/018/0005922292?sid=101,,이데일리,‘AI 동맹군’ 확보 나선 유영상…SKT ‘AI 인프라 전략’ 드라이브[CES2025],"현장 찾아 빅테크 전시관 잇단 참관
‘AI 인프라 슈퍼 하이웨이’ 기틀 다져
“성장동력 핵심 AI서 의미 있는 결실”
[이데일리 김은경 기자] 유영상 SK텔레콤 대표가 ‘CES 2025’에서 인공지능(AI) 혁신 기업들과 파트너십을 체결하고 전방위 AI 협력 방안을 모색하는 등 활발한 행보를 펼쳤다. AI에서 확고한 영역을 보유한 현지 기업들과 협력 확대로 올해 SK테렐콤의 ‘AI 인프라 슈퍼 하이웨이’ 전략이 한층 힘을 받을 전망이다.
AI 인프라 슈퍼 하이웨이 전략은 AI 데이터센터와 서비스형 GPU(GPUaaS) 에지AI(Edge AI) 등 세 가지 축을 중심으로 전국의 AI 인프라를 구축하는 SK텔레콤의전략이다.
유영상 SK텔레콤 대표(가운데)가 미국 라스베이거스에서 열리는 세계 최대 가전·정보기술(IT) 전시회 ‘CES 2025’ 개막일인 지난 7일(현지시간) 메인 전시장인 라스베이거스 컨벤션센터(LVCC) 센트럴홀에 마련된 SK그룹 부스를 참관하고 있다.(사진=SK텔레콤)
9일(현지시간) SK텔레콤에 따르면 유영상 대표와 주요 경영진은 앤트로픽, 퍼플렉시티, 슈퍼마이크로 등과 만나 AI 비즈니스 협력 방안을 논의했다.
앤트로픽과는 지난해 공동 개발하고 SK텔레콤 고객센터에 적용한 텔코(Telco) 거대언어모델(LLM) 개선과 적용 범위 확대를 논의했다. 앤트로픽의 클로드 등을 활용한 SK텔레콤 글로벌향 개인 AI 에이전트(PAA) ‘에스터’의 주요 시장 진출 가능성도 타진했다.
이외에도 유 대표는 삼성전자, 파나소닉 등의 글로벌 기업 전시관을 방문해 AI 기술이 산업 전반에 불러오는 혁신 현장을 직접 살폈다.
유영상 대표는 “이번 CES를 통해 SK가 보유한 AI 서비스와 AI 인프라 및 AI 반도체의 글로벌 경쟁력을 전 세계에 입증했다”며 “올해 다양한 글로벌 파트너사와의 적극적인 협력을 통해 성장동력의 핵심인 AI에서 의미 있는 결실을 맺을 것”이라고 말했다.
SK텔레콤, SK하이닉스, 펭귄 솔루션스 주요 경영진이 ‘CES 2025’가 열린 미국 라스베이거스에서 ‘AI 데이터센터 솔루션 공동 연구개발(R&D) 및 사업 추진’을 위한 협력 계약을 체결한 뒤 기념촬영하고 있다. 사진 왼쪽부터 김주선 SK하이닉스 인공지능(AI) 인프라 사장, 유영상 SK텔레콤 대표, 마크 아담스 펭귄솔루션스 최고경영자(CEO).(사진=SK하이닉스)
이날 SK텔레콤(017670)은 SK하이닉스(000660), 펭귄솔루션스와 ‘AI 데이터센터 솔루션 공동 연구개발(R&D) 및 사업 추진’을 위한 협력 계약도 체결했다.
협약식에는 유영상 대표와 마크 아담스 펭귄 솔루션스 최고경영자(CEO), 김주선 SK하이닉스 AI 인프라(Infra) 사장 등 각사 주요 인사가 참석했다.
펭귄솔루션스는 미국 AI 데이터센터 통합 솔루션 대표 기업으로 대규모 AI 클러스터 구축 노하우를 가진 전 세계에서 손꼽히는 기업이다. SK텔레콤은 지난 7월 펭귄솔루션스와 AI 투자 중 최대 규모인 2억달러 투자 계약을 체결한 후 시너지 태스크포스(TF)를 구성해 구체적인 상호 협력 사항을 논의했다.
이번 협약을 통해 3사는 AI 데이터센터의 △글로벌 확장 △솔루션 공동 R&D 및 상용화 △특화 차세대 메모리 어플라이언스 개발 등 크게 3가지 영역에서 협력키로 했다.
먼저 3사는 글로벌 확장을 위해 일본을 비롯한 아시아태평양(APAC)과 중동 시장에서 사업 기회를 모색한다. 솔루션 공동 R&D 및 상용화를 위해 AI 데이터센터 구축과 운영에 필요한 소프트웨어 풀 스택(Full Stack)을 완성하고 리벨리온 신경망처리장치(NPU)칩을 활용한 서버 실증과 상용화도 추진한다. SK하이닉스와 펭귄솔루션스는 공동으로 차세대 데이터센터 메모리 기술을 개발해 SK하이닉스의 고대역폭메모리(HBM) 경쟁력도 확대할 계획이다.
SK텔레콤 관계자는 “이번 협력을 통해 3사는 SK그룹이 보유한 반도체·에너지·냉각·메모리 등 다양한 AI 데이터센터 솔루션을 결합해 ‘독자 기술 기반의 한국형 소버린 AI 인프라 BM’을 발굴할 계획”이라며 “이번 협약은 SK가 추구하는 비전인 ‘세계에서 가장 경제적이고 효율적인 AI 데이터센터’를 만들어 나가는 초석이 될 것”이라고 말했다.",CES2025
이데일리,"[CES 2025] 유영상 SKT CEO, 'AI 인프라 슈퍼 하이웨이' 기틀 다진다",네이버뉴스,https://n.news.naver.com/mnews/article/018/0005922292?sid=101,,이데일리,‘AI 동맹군’ 확보 나선 유영상…SKT ‘AI 인프라 전략’ 드라이브[CES2025],"현장 찾아 빅테크 전시관 잇단 참관
‘AI 인프라 슈퍼 하이웨이’ 기틀 다져
“성장동력 핵심 AI서 의미 있는 결실”
[이데일리 김은경 기자] 유영상 SK텔레콤 대표가 ‘CES 2025’에서 인공지능(AI) 혁신 기업들과 파트너십을 체결하고 전방위 AI 협력 방안을 모색하는 등 활발한 행보를 펼쳤다. AI에서 확고한 영역을 보유한 현지 기업들과 협력 확대로 올해 SK테렐콤의 ‘AI 인프라 슈퍼 하이웨이’ 전략이 한층 힘을 받을 전망이다.
AI 인프라 슈퍼 하이웨이 전략은 AI 데이터센터와 서비스형 GPU(GPUaaS) 에지AI(Edge AI) 등 세 가지 축을 중심으로 전국의 AI 인프라를 구축하는 SK텔레콤의전략이다.
유영상 SK텔레콤 대표(가운데)가 미국 라스베이거스에서 열리는 세계 최대 가전·정보기술(IT) 전시회 ‘CES 2025’ 개막일인 지난 7일(현지시간) 메인 전시장인 라스베이거스 컨벤션센터(LVCC) 센트럴홀에 마련된 SK그룹 부스를 참관하고 있다.(사진=SK텔레콤)
9일(현지시간) SK텔레콤에 따르면 유영상 대표와 주요 경영진은 앤트로픽, 퍼플렉시티, 슈퍼마이크로 등과 만나 AI 비즈니스 협력 방안을 논의했다.
앤트로픽과는 지난해 공동 개발하고 SK텔레콤 고객센터에 적용한 텔코(Telco) 거대언어모델(LLM) 개선과 적용 범위 확대를 논의했다. 앤트로픽의 클로드 등을 활용한 SK텔레콤 글로벌향 개인 AI 에이전트(PAA) ‘에스터’의 주요 시장 진출 가능성도 타진했다.
이외에도 유 대표는 삼성전자, 파나소닉 등의 글로벌 기업 전시관을 방문해 AI 기술이 산업 전반에 불러오는 혁신 현장을 직접 살폈다.
유영상 대표는 “이번 CES를 통해 SK가 보유한 AI 서비스와 AI 인프라 및 AI 반도체의 글로벌 경쟁력을 전 세계에 입증했다”며 “올해 다양한 글로벌 파트너사와의 적극적인 협력을 통해 성장동력의 핵심인 AI에서 의미 있는 결실을 맺을 것”이라고 말했다.
SK텔레콤, SK하이닉스, 펭귄 솔루션스 주요 경영진이 ‘CES 2025’가 열린 미국 라스베이거스에서 ‘AI 데이터센터 솔루션 공동 연구개발(R&D) 및 사업 추진’을 위한 협력 계약을 체결한 뒤 기념촬영하고 있다. 사진 왼쪽부터 김주선 SK하이닉스 인공지능(AI) 인프라 사장, 유영상 SK텔레콤 대표, 마크 아담스 펭귄솔루션스 최고경영자(CEO).(사진=SK하이닉스)
이날 SK텔레콤(017670)은 SK하이닉스(000660), 펭귄솔루션스와 ‘AI 데이터센터 솔루션 공동 연구개발(R&D) 및 사업 추진’을 위한 협력 계약도 체결했다.
협약식에는 유영상 대표와 마크 아담스 펭귄 솔루션스 최고경영자(CEO), 김주선 SK하이닉스 AI 인프라(Infra) 사장 등 각사 주요 인사가 참석했다.
펭귄솔루션스는 미국 AI 데이터센터 통합 솔루션 대표 기업으로 대규모 AI 클러스터 구축 노하우를 가진 전 세계에서 손꼽히는 기업이다. SK텔레콤은 지난 7월 펭귄솔루션스와 AI 투자 중 최대 규모인 2억달러 투자 계약을 체결한 후 시너지 태스크포스(TF)를 구성해 구체적인 상호 협력 사항을 논의했다.
이번 협약을 통해 3사는 AI 데이터센터의 △글로벌 확장 △솔루션 공동 R&D 및 상용화 △특화 차세대 메모리 어플라이언스 개발 등 크게 3가지 영역에서 협력키로 했다.
먼저 3사는 글로벌 확장을 위해 일본을 비롯한 아시아태평양(APAC)과 중동 시장에서 사업 기회를 모색한다. 솔루션 공동 R&D 및 상용화를 위해 AI 데이터센터 구축과 운영에 필요한 소프트웨어 풀 스택(Full Stack)을 완성하고 리벨리온 신경망처리장치(NPU)칩을 활용한 서버 실증과 상용화도 추진한다. SK하이닉스와 펭귄솔루션스는 공동으로 차세대 데이터센터 메모리 기술을 개발해 SK하이닉스의 고대역폭메모리(HBM) 경쟁력도 확대할 계획이다.
SK텔레콤 관계자는 “이번 협력을 통해 3사는 SK그룹이 보유한 반도체·에너지·냉각·메모리 등 다양한 AI 데이터센터 솔루션을 결합해 ‘독자 기술 기반의 한국형 소버린 AI 인프라 BM’을 발굴할 계획”이라며 “이번 협약은 SK가 추구하는 비전인 ‘세계에서 가장 경제적이고 효율적인 AI 데이터센터’를 만들어 나가는 초석이 될 것”이라고 말했다.",CES2025
머니S,"[CES 2025] 유영상 SKT CEO, 글로벌 AI 협력 강화 행보",네이버뉴스,https://n.news.naver.com/mnews/article/417/0001051001?sid=101,,머니S,"[CES 2025] 유영상 SKT CEO, 'AI 인프라 슈퍼 하이웨이' 기틀 다진다","SK하이닉스·펭귄 솔루션스와 'AI 데이터센터 솔루션' 협력
SKT, SK하이닉스, 펭귄 솔루션스 주요 경영진이 9일(현지시간) 'CES 2025'가 열린 미국 라스베이거스에서 ‘AI 데이터센터 솔루션 공동 R&D 및 사업 추진’을 위한 협력 계약을 체결하고 기념 사진을 촬영하고 있다. (왼쪽부터)김주선 SK하이닉스 AI  인프라 사장, 유영상 SKT CEO, 마크 아담스 펭귄 솔루션스 CEO. / 사진=SKT
유영상 SK텔레콤 최고경영자(CEO)가 세계 최대 IT·가전박람회 'CES 2025'에서 인공지능(AI) 혁신 기업들과 파트너십을 체결하고 전방위 AI 협력 방안을 모색하는 등 활발한 행보를 펼쳤다.
펭귄 솔루션스, 앤트로픽 등 AI에서 확고한 영역을 보유한 기업들과 협력 확대로 2025년 SKT의 'AI 인프라 슈퍼 하이웨이' 전략이 한층 힘을 받을 전망이다.
SK텔레콤은 'CES 2025'에서 SK하이닉스, 펭귄 솔루션스와 'AI 데이터센터 솔루션 공동 R&D 및 사업 추진'을 위한 협력 계약을 체결했다고 10일 밝혔다.
협약식은 유영상 SKT CEO, 김주선 SK하이닉스 AI 인프라 사장, 마크 아담스 펭귄 솔루션스 CEO 등 각 사 CEO 등이 참석한 가운데 9일 오전(현지시각) 미국 라스베이거스에서 진행됐다.
펭귄 솔루션스는 미국 AI 데이터센터 통합 솔루션 대표 기업으로, 대규모 AI 클러스터 구축 노하우를 가진 전 세계에서 손꼽히는 기업이다. SKT는 지난 7월 펭귄 솔루션스와 AI 투자 중 최대 규모인 2억 달러 투자 계약을 체결한 후 시너지 TF를 구성해 구체적인 상호 협력 사항을 논의했다.
이번 협약을 통해 3사는 AI 데이터센터의 ▲글로벌 확장 ▲솔루션 공동 R&D 및 상용화 ▲특화 차세대 메모리 어플라이언스 개발 등 크게 3가지 영역에서 협력키로 했다.
먼저 3사는 글로벌 확장을 위해 일본을 비롯한 아시아태평양(APAC)과 중동 시장에서 사업 기회를 모색한다. 또, 솔루션 공동 R&D 및 상용화를 위해 AI 데이터센터 구축과 운영에 필요한 소프트웨어 풀 스택을 완성하고 리벨리온 NPU칩을 활용한 서버 실증 및 상용화도 추진한다. SK하이닉스와 펭귄 솔루션스가 공동으로 차세대 데이터센터 메모리 기술을 개발해 SK하이닉스의 차별적인 HBM 경쟁력도 확대할 계획이다.
SKT는 ""이번 협력을 통해 3사는 SK그룹이 보유한 반도체, 에너지, 냉각, 메모리 등 다양한 AI 데이터센터 솔루션을 결합해 '독자 기술 기반의 한국형 소버린 AI 인프라 BM'을 발굴할 계획""이라며, ""이번 협약은 SK가 추구하는 비전인 '세계에서 가장 경제적이고 효율적인 AI 데이터센터'를 만들어 나가는 초석이 될 것""이라고 말했다.
이 밖에도 유영상 CEO와 주요 경영진은 앤트로픽, 퍼플렉시티, 슈퍼마이크로 등과 만나 AI 비즈니스 협력 방안을 논의했다.
앤트로픽과는 지난해 공동 개발하고 SKT 고객센터에 적용한 Telco LLM 개선과 적용 범위 확대를 논의했다. 또한 앤트로픽의 클로드 등을 활용한 SKT 글로벌향 개인 AI 에이전트(PAA)의 주요 시장 진출 가능성을 타진했다.
이외에도 유영상 CEO는 삼성전자, 파나소닉 등의 글로벌 기업 전시관을 방문해 AI 기술이 산업 전반에 불러오는 혁신 현장을 직접 살폈다.
유영상 SKT CEO는 ""이번 CES를 통해 SK가 보유한 AI 서비스, AI 인프라 및 AI 반도체의 글로벌 경쟁력을 전 세계에 입증했다""며 ""올해 다양한 글로벌 파트너사와의 적극적인 협력을 통해 성장동력의 핵심인 AI에서 의미있는 결실을 맺을 것""이라고 강조했다.",CES2025
지디넷코리아,"삼성SDI, 'CES 2025' 혁신상 수상 배터리 소개",네이버뉴스,https://n.news.naver.com/mnews/article/092/0002359398?sid=105,,지디넷코리아,"삼성SDI, 'CES 2025' 혁신상 수상 배터리 소개","각형 제품·ESS 솔루션 등…전고체·셀투팩 등 차세대 기술도 전시
삼성SDI는 7~9일(현지시간) 미국 라스베이거스에서 열린 세계 최대 전자·IT 전시회 'CES 2025'에서 혁신 배터리 제품과 기술을 선보였다고 10일 밝혔다.
라스베이거스 중심가에 위치한 윈 호텔에 마련된 고객 초청 전시회에는 원통형 배터리, 전기차용 각형 배터리, 전력용 에너지저장장치(ESS) 솔루션 등 최신 제품이 대거 전시됐다.
특히 전시장에는 이번 행사를 앞두고 'CES 혁신상'을 받은 배터리 관련 대표 제품들과 함께 최근 업계에서 큰 관심을 받고 있는 전고체 배터리 기술도 공개됐다.
삼성SDI가 CES 2025에서 전시한 CES 혁신상 제품들
혁신 설계와 공정 기술을 적용해 안전성과 성능을 잡은 고밀도 장수명 전기차용 각형 배터리 '프라이맥스680-EV', 무선통신 기술로 구조를 단순화해 생산 효율과 품질을 높인 전기차 배터리 모듈 '프라이맥스680 모듈 플러스' 등이 업계 관계자 시선을 사로잡았다.
전력망에 연결만 하면 바로 사용할 수 있고 안전성도 이전보다 향상된 컨테이너식 ESS 'SBB 1.5'와, 고출력·고속충전 기술을 구현한 21700 원통형 배터리 '프라이맥스50U-파워'도 전시됐다.
고에너지 밀도 제품으로 개발되는 무음극 기반 전고체 배터리도 선보였다. 삼성SDI는 지난 2023년 말부터 고객사들에게 샘플을 공급하며 2027년 상용화를 목표로 하고 있다.
삼성SDI는 전시장에 전문 도슨트를 운영하며 해당 부스 방문객과 시장조사 기관 관계자들에게 사업 부문별 핵심 제품을 소개해 이해도를 높였다.
삼성SDI가 CES 2025에서 전시한 전기차 배터리 셀투팩(CTP) 컨셉 제품
특히 삼성SDI는 이번 'CES 2025' 전시 주제를 '초격차 기술로 지속가능한 미래 실현'으로 정하고 혁신 기술력을 선보이는 데 집중했다.
최근 전기차 캐즘, 미국 트럼프 정부 출범 등에 따른 불확실성 등 여러 악재로 인해 배터리 업계가 어려운 시기를 거치고 있으나 선제적인 기술 혁신을 통해 미래를 준비하겠다는 의지를 담았다.
최근 고금리 등으로 인한 수요 부진과 전기차 및 배터리 관련 정책 불확실성 등으로 인해 업계 실적이 부진한 가운데서도 차별화 기술 개발 및 혁신에 꾸준히 투자함으로써 향후 다가올 '슈퍼사이클'에 대비하겠다는 것이다.
삼성SDI 관계자는 ""초격차 기술력을 바탕으로 지속가능한 미래를 실현하기 위한 노력과 의지를 고객들에게 선보였다""며 ""최고의 배터리 기술력과 품질을 직접 확인한 고객들로부터 좋은 반응을 얻을 수 있었다""고 말했다.",CES2025
지디넷코리아,"[CES 2025] 삼성SDI, '전고체·ESS' 혁신상 수상 제품 선봬",네이버뉴스,https://n.news.naver.com/mnews/article/092/0002359398?sid=105,,지디넷코리아,"삼성SDI, 'CES 2025' 혁신상 수상 배터리 소개","각형 제품·ESS 솔루션 등…전고체·셀투팩 등 차세대 기술도 전시
삼성SDI는 7~9일(현지시간) 미국 라스베이거스에서 열린 세계 최대 전자·IT 전시회 'CES 2025'에서 혁신 배터리 제품과 기술을 선보였다고 10일 밝혔다.
라스베이거스 중심가에 위치한 윈 호텔에 마련된 고객 초청 전시회에는 원통형 배터리, 전기차용 각형 배터리, 전력용 에너지저장장치(ESS) 솔루션 등 최신 제품이 대거 전시됐다.
특히 전시장에는 이번 행사를 앞두고 'CES 혁신상'을 받은 배터리 관련 대표 제품들과 함께 최근 업계에서 큰 관심을 받고 있는 전고체 배터리 기술도 공개됐다.
삼성SDI가 CES 2025에서 전시한 CES 혁신상 제품들
혁신 설계와 공정 기술을 적용해 안전성과 성능을 잡은 고밀도 장수명 전기차용 각형 배터리 '프라이맥스680-EV', 무선통신 기술로 구조를 단순화해 생산 효율과 품질을 높인 전기차 배터리 모듈 '프라이맥스680 모듈 플러스' 등이 업계 관계자 시선을 사로잡았다.
전력망에 연결만 하면 바로 사용할 수 있고 안전성도 이전보다 향상된 컨테이너식 ESS 'SBB 1.5'와, 고출력·고속충전 기술을 구현한 21700 원통형 배터리 '프라이맥스50U-파워'도 전시됐다.
고에너지 밀도 제품으로 개발되는 무음극 기반 전고체 배터리도 선보였다. 삼성SDI는 지난 2023년 말부터 고객사들에게 샘플을 공급하며 2027년 상용화를 목표로 하고 있다.
삼성SDI는 전시장에 전문 도슨트를 운영하며 해당 부스 방문객과 시장조사 기관 관계자들에게 사업 부문별 핵심 제품을 소개해 이해도를 높였다.
삼성SDI가 CES 2025에서 전시한 전기차 배터리 셀투팩(CTP) 컨셉 제품
특히 삼성SDI는 이번 'CES 2025' 전시 주제를 '초격차 기술로 지속가능한 미래 실현'으로 정하고 혁신 기술력을 선보이는 데 집중했다.
최근 전기차 캐즘, 미국 트럼프 정부 출범 등에 따른 불확실성 등 여러 악재로 인해 배터리 업계가 어려운 시기를 거치고 있으나 선제적인 기술 혁신을 통해 미래를 준비하겠다는 의지를 담았다.
최근 고금리 등으로 인한 수요 부진과 전기차 및 배터리 관련 정책 불확실성 등으로 인해 업계 실적이 부진한 가운데서도 차별화 기술 개발 및 혁신에 꾸준히 투자함으로써 향후 다가올 '슈퍼사이클'에 대비하겠다는 것이다.
삼성SDI 관계자는 ""초격차 기술력을 바탕으로 지속가능한 미래를 실현하기 위한 노력과 의지를 고객들에게 선보였다""며 ""최고의 배터리 기술력과 품질을 직접 확인한 고객들로부터 좋은 반응을 얻을 수 있었다""고 말했다.",CES2025
