press,title,naver_news_text,naver_news_url,body,press_html,title_html,body_html,label
에너지경제,"[기후 신호등] 전과정평가(LCA),온실가스측정의 새 도구로 주목",,,,,,,온실가스
일요신문,"한국해양교통안전공단, 공공기관온실가스감축률 1위...기후부 장관 표...",,,,,,,온실가스
대구MBC,"한국부동산원, 4개 건설사와온실가스감축 업무협약 체결",네이버뉴스,https://n.news.naver.com/mnews/article/657/0000045554?sid=101,,대구MBC,"한국부동산원, 4개 건설사와 온실가스 감축 업무협약 체결","한국부동산원은 11월 27일 온실가스 목표관리 업체인 SK에코플랜트, HDC현대산업개발, DL건설, 태영건설과 2026년도 온실가스 감축 업무협약을 체결했다고 밝혔습니다.
온실가스 목표관리제는 '탄소중립기본법'에 따른 목표관리업체를 대상으로 온실가스 감축 목표를 설정하고 배출량을 관리하는 제도입니다.
한국부동산원은 국토교통부의 실무 대행 기관으로 지정받아 2020년부터 온실가스 배출량이 일정 규모 이상인 건설사를 대상으로 온실가스 목표관리제를 운영하면서 건설사들이 온실가스 감축목표를 차질 없이 이행할 수 있도록 지원하고 있습니다.
특히 이번 협약 업체는 2024년 관리업체로 신규 지정돼 처음으로 연도별 감축목표를 설정하였고, 개정된 지침에 따라 기존보다 더욱 강화된 목표를 이행할 예정입니다.
목표관리 건설사는 감축 목표 이행을 위해 시공 방법 개선, 건설기계 운영 효율성 확보 등 다양한 온실가스 감축 방안을 마련하고, 건설 현장에 적용해 나갈 계획입니다.",온실가스
이코노뉴스,"한국에너지공단, 페루서 연간 1만2000t온실가스감축 잠재량 발굴...산...",,,,,,,온실가스
세계일보,1년여 준비와 네 차례 연기…우주의 별이 된 ‘경기기후위성 1호’ [오상...,네이버뉴스,https://n.news.naver.com/mnews/article/022/0004086434?sid=102,,세계일보,1년여 준비와 네 차례 연기…우주의 별이 된 ‘경기기후위성 1호’ [오상도의 경기유랑],"29일 지자체 첫 기후관측위성 발사…발사 56분 만에 우주 궤도 안착
김동연 “우주에도 경기도 있어…뉴 스페이스 시대 여는 우주 동반자”
지자체 위성 시대 개막에 안팎 관심 고조…“기후테크 산업 육성 도움”
25kg 광학위성, 하루 수차례 한반도 돌아…정밀 기후 데이터 수집·공유
온실가스 감축, 도시·산림·농업 분야 기후변화 평가, 재난 대응 정책 수립
“5, 4, 3, 2, 1.”
29일 새벽 3시44분. 경기 수원시 광교의 도청 지하 1층 스튜디오에선 탄성이 터져 나왔습니다. ‘경기기후위성 1호기(GYEONGGISat-1)’가 미국 캘리포니아주 반덴버그 우주군기지에서 스페이스X의 팰컨9 로켓에 실려 발사되자, 지켜보던 도 관계자들은 박수로 응원했습니다. 1년여의 준비와 네 차례 연기 끝에 기후 위성을 우주로 쏘아 올린 겁니다.
29일 경기도신용보증재단 도민쉼터에서 열린 기후위성 발사 보고회에서 발사 영상이 중계되고 있다. 경기도 제공
30일 경기도에 따르면 기후위성 1호기는 발사 56분 만에 로켓에서 분리돼 궤도에 안착했습니다. 잇따라 1단 로켓, 페어링(덮개)과 분리를 마친 팰컨9 로켓은 기후위성 1호기를 다른 초소형 위성들과 함께 사출했죠. 우주에 자리를 잡은 기후위성은 송수신 신호를 보내 ‘성공’을 알렸습니다.
◆ 현지 사정으로 네 차례 연기…“1420만 도민 염원 담아”
최근 누리호 발사 성공에 이어 지방자치단체인 경기도가 기후위성을 우주로 보내 이목을 끌고 있습니다. 지자체 첫 기후 관측위성은 기후 대응 역량을 한 단계 끌어올릴 것으로 기대를 모읍니다.
이번 발사는 국내 지자체가 독자적으로 계획해 실현한 첫 위성 프로젝트로 관심을 끕니다. 도는 우주에서 기후 데이터를 확보해 지역 맞춤형 대응에 나설 예정입니다. 정부의 대기질 예측과 기후정책에 전적으로 의존하거나, 비싼 외화를 들여 해외 위성 데이터를 사와야 하는 번거로움을 피할 수 있게 됐죠.
지역 도심과 생태계 변화를 탐지할 ‘경기기후위성 1호기(GYEONGGISat-1)’. 경기도 제공
지난해 8월 공개된 이 프로젝트에 지역 연구소와 중소·우주기업들이 대거 참여하면서 새로운 협력 모델을 제시했다는 평가를 듣습니다. 기술 국산화와 일자리 창출에도 기여했습니다.
광학위성인 경기기후위성 1호기는 광학 장비를 통해 지역 도심과 생태 변화를 탐지합니다. 무게는 25kg에 불과하지만 다분광 탑재체와 고해상도 고속 데이터 처리 장치가 장착돼 정밀 데이터를 관측할 수 있죠.
하루 수차례 수도권 상공 등을 돌면서 미세먼지 농도와 대기오염물질 이동 경로, 온실가스 배출량, 기후변화로 인한 지표 변화 등을 촬영합니다. 도와 정부, 연구기관은 이 데이터를 공동으로 활용해 정밀한 미세먼지 예보와 도시 열섬 분석, 재난 예·경보 시스템을 갖추게 됩니다.
도는 기후위성 2~3호기를 내년에 순차적으로 발사해 기후·환경 모니터링 체계를 완성할 예정입니다. 온실가스 감축, 도시·산림·농업 분야 기후변화 평가, 재난 대응 정책 수립에 활용할 방침입니다.
기후위성 발사를 앞두고 수원시 광교의 경기신용보증재단 도민쉼터에 마련된 임시상황실은 도민에게 개방됩니다. 이곳에선 실제 크기와 동일하게 제작된 위성 모형과 발사 영상 등이 공유됩니다.
김동연 경기도지사 SNS 캡처
◆ ‘뉴 ABC’ 구상의 핵심 사업…기후·환경 정밀 데이터 수집
이번 위성 발사와 궤도 안착까지 도 관계자들은 남모르는 속앓이를 했습니다. 당초 1호기는 지난 12일 발사될 예정이었지만 미 연방정부의 셧다운(업무 일시 정지) 사태가 장기화함에 따라 미 연방항공청(FAA)이 인력난을 겪으며 차질을 빚었습니다.
다시 현지 사정으로 어려움을 겪으면서 20일, 21일, 27일로 세 차례 변경된 발사는 29일로 또다시 미뤄진 뒤 가까스로 성사됐죠.
경기기후위성 1호기는 김동연 지사가 제시한 ‘뉴 ABC’ 구상 가운데 기후·환경 데이터를 담당하는 핵심 사업입니다. 도내 온실가스·기후위기 대응 정책 수립을 뒷받침할 목적으로 개발됐습니다.
지난해  8월 경기도청에서 열린 ‘뉴스페이스 시대, 기후위성 포럼’ 행사에서 김동연 지사와 과학커뮤니케이터 궤도, 도 관계자 등이 기념촬영을 하고 있다. 경기도 제공
김 지사는 “위성으로 수집한 데이터는 기후위기의 과학적 대응뿐만 아니라 기후테크 산업 육성에도 도움이 될 것”이라며 “경기도가 대한민국의 뉴 스페이스 시대를 여는 우주의 동반자가 되겠다”고 말했습니다.
발사 직후 사회관계망서비스(SNS)에 올린 글에선 “‘기’ 기똥차다, ‘후’ 후퇴는 없다, ‘위’ 위대하다, ‘성’ 성공하리!”라는 사행 시를 담아 1420만 도민의 염원을 대변했습니다. 이어 “경기기후위성 1호가 우주 궤도에 안착했다. 도민의 염원도 위성에 함께 담겨 올라갔다. 우주에도 경기도가 있다”고 적었습니다.",온실가스
세계일보,전국 최초로 쏘아 올린 경기도 ‘기후위성’ 궤도 안착,네이버뉴스,https://n.news.naver.com/mnews/article/022/0004086434?sid=102,,세계일보,1년여 준비와 네 차례 연기…우주의 별이 된 ‘경기기후위성 1호’ [오상도의 경기유랑],"29일 지자체 첫 기후관측위성 발사…발사 56분 만에 우주 궤도 안착
김동연 “우주에도 경기도 있어…뉴 스페이스 시대 여는 우주 동반자”
지자체 위성 시대 개막에 안팎 관심 고조…“기후테크 산업 육성 도움”
25kg 광학위성, 하루 수차례 한반도 돌아…정밀 기후 데이터 수집·공유
온실가스 감축, 도시·산림·농업 분야 기후변화 평가, 재난 대응 정책 수립
“5, 4, 3, 2, 1.”
29일 새벽 3시44분. 경기 수원시 광교의 도청 지하 1층 스튜디오에선 탄성이 터져 나왔습니다. ‘경기기후위성 1호기(GYEONGGISat-1)’가 미국 캘리포니아주 반덴버그 우주군기지에서 스페이스X의 팰컨9 로켓에 실려 발사되자, 지켜보던 도 관계자들은 박수로 응원했습니다. 1년여의 준비와 네 차례 연기 끝에 기후 위성을 우주로 쏘아 올린 겁니다.
29일 경기도신용보증재단 도민쉼터에서 열린 기후위성 발사 보고회에서 발사 영상이 중계되고 있다. 경기도 제공
30일 경기도에 따르면 기후위성 1호기는 발사 56분 만에 로켓에서 분리돼 궤도에 안착했습니다. 잇따라 1단 로켓, 페어링(덮개)과 분리를 마친 팰컨9 로켓은 기후위성 1호기를 다른 초소형 위성들과 함께 사출했죠. 우주에 자리를 잡은 기후위성은 송수신 신호를 보내 ‘성공’을 알렸습니다.
◆ 현지 사정으로 네 차례 연기…“1420만 도민 염원 담아”
최근 누리호 발사 성공에 이어 지방자치단체인 경기도가 기후위성을 우주로 보내 이목을 끌고 있습니다. 지자체 첫 기후 관측위성은 기후 대응 역량을 한 단계 끌어올릴 것으로 기대를 모읍니다.
이번 발사는 국내 지자체가 독자적으로 계획해 실현한 첫 위성 프로젝트로 관심을 끕니다. 도는 우주에서 기후 데이터를 확보해 지역 맞춤형 대응에 나설 예정입니다. 정부의 대기질 예측과 기후정책에 전적으로 의존하거나, 비싼 외화를 들여 해외 위성 데이터를 사와야 하는 번거로움을 피할 수 있게 됐죠.
지역 도심과 생태계 변화를 탐지할 ‘경기기후위성 1호기(GYEONGGISat-1)’. 경기도 제공
지난해 8월 공개된 이 프로젝트에 지역 연구소와 중소·우주기업들이 대거 참여하면서 새로운 협력 모델을 제시했다는 평가를 듣습니다. 기술 국산화와 일자리 창출에도 기여했습니다.
광학위성인 경기기후위성 1호기는 광학 장비를 통해 지역 도심과 생태 변화를 탐지합니다. 무게는 25kg에 불과하지만 다분광 탑재체와 고해상도 고속 데이터 처리 장치가 장착돼 정밀 데이터를 관측할 수 있죠.
하루 수차례 수도권 상공 등을 돌면서 미세먼지 농도와 대기오염물질 이동 경로, 온실가스 배출량, 기후변화로 인한 지표 변화 등을 촬영합니다. 도와 정부, 연구기관은 이 데이터를 공동으로 활용해 정밀한 미세먼지 예보와 도시 열섬 분석, 재난 예·경보 시스템을 갖추게 됩니다.
도는 기후위성 2~3호기를 내년에 순차적으로 발사해 기후·환경 모니터링 체계를 완성할 예정입니다. 온실가스 감축, 도시·산림·농업 분야 기후변화 평가, 재난 대응 정책 수립에 활용할 방침입니다.
기후위성 발사를 앞두고 수원시 광교의 경기신용보증재단 도민쉼터에 마련된 임시상황실은 도민에게 개방됩니다. 이곳에선 실제 크기와 동일하게 제작된 위성 모형과 발사 영상 등이 공유됩니다.
김동연 경기도지사 SNS 캡처
◆ ‘뉴 ABC’ 구상의 핵심 사업…기후·환경 정밀 데이터 수집
이번 위성 발사와 궤도 안착까지 도 관계자들은 남모르는 속앓이를 했습니다. 당초 1호기는 지난 12일 발사될 예정이었지만 미 연방정부의 셧다운(업무 일시 정지) 사태가 장기화함에 따라 미 연방항공청(FAA)이 인력난을 겪으며 차질을 빚었습니다.
다시 현지 사정으로 어려움을 겪으면서 20일, 21일, 27일로 세 차례 변경된 발사는 29일로 또다시 미뤄진 뒤 가까스로 성사됐죠.
경기기후위성 1호기는 김동연 지사가 제시한 ‘뉴 ABC’ 구상 가운데 기후·환경 데이터를 담당하는 핵심 사업입니다. 도내 온실가스·기후위기 대응 정책 수립을 뒷받침할 목적으로 개발됐습니다.
지난해  8월 경기도청에서 열린 ‘뉴스페이스 시대, 기후위성 포럼’ 행사에서 김동연 지사와 과학커뮤니케이터 궤도, 도 관계자 등이 기념촬영을 하고 있다. 경기도 제공
김 지사는 “위성으로 수집한 데이터는 기후위기의 과학적 대응뿐만 아니라 기후테크 산업 육성에도 도움이 될 것”이라며 “경기도가 대한민국의 뉴 스페이스 시대를 여는 우주의 동반자가 되겠다”고 말했습니다.
발사 직후 사회관계망서비스(SNS)에 올린 글에선 “‘기’ 기똥차다, ‘후’ 후퇴는 없다, ‘위’ 위대하다, ‘성’ 성공하리!”라는 사행 시를 담아 1420만 도민의 염원을 대변했습니다. 이어 “경기기후위성 1호가 우주 궤도에 안착했다. 도민의 염원도 위성에 함께 담겨 올라갔다. 우주에도 경기도가 있다”고 적었습니다.",온실가스
조선일보,[영상] 경기기후위성 발사 성공… 김동연 “경기도 우주 시대 개막”,네이버뉴스,https://n.news.naver.com/mnews/article/023/0003944008?sid=102,,조선일보,전국 최초로 쏘아 올린 경기도 ‘기후위성’ 궤도 안착,"지난 29일 오전 3시 40분쯤 경기기후위성 1호기를 탑재한 미국 스페이스X의 팰컨9 로켓이 하늘로 솟아 오르고 있다. /경기도 유튜브
“3, 2, 1...발사!”
지난 29일 오전 3시 44분. 이른 새벽 시간 경기 수원시 경기도서관 지하 1층 스튜디오에서 “우와”하는 함성과 박수 소리가 울렸다.
이날 미국 캘리포니아 반덴버그 우주군기지에서 ‘경기기후위성 1호기(GYEONGGISat-1)’가 실린 스페이스엑스(SpaceX) 펠컨9 로켓이 무사히 하늘로 솟아올랐다. 경기기후위성은 경기도가 전국 지방자치단체 최초로 우주로 쏘아올린 기후관측용 인공위성의 이름이다. 발사 상황은 유튜브로 생중계됐다.
발사 후 약 56분쯤이 지난 오전 4시 40분. 궤도에 들어선 로켓에서 경기기후위성 1호기가 사출(射出)됐다. 이후 1시간이 지난 후 정보 송수신에 성공했다.
경기기후위성은 가로 20cm, 세로 20cm, 높이 40cm의 초소형 위성이다. ‘큐브위성’이라고도 불린다. 밥솥, 전자레인지 정도 크기인데 무게는 약 25kg에 불과하다. 경기도 관계자는 “작지만 기능은 알차다”고 했다.
위성 안에는 고해상도 광학 카메라와 위성 운영 시스템이 모두 들어있다. 위성은 지구 표면에서 약 500km 상공에서 경기도 지역을 통과할 때 1회당 14x40km의 면적을 촬영한다. 위성은 홍수와 산불 등 자연재해로 인한 피해나 식생, 토지 변화 등을 한눈에 모니터링하는 역할을 한다. 위성은 탑재된 태양전지판으로 전력을 공급받는다. 앞으로 3년 간 임무를 수행하고, 수명이 다할 경우 지구로 떨어져 자동 폐기된다고 한다.
29일 오전 경기도서관 미디어스튜디오에서 열린 경기기후위성 발사 기념식. 사진 왼쪽부터 장벽진 사회자, 차성수 경기도 기후환경에너지국장, 박재필 나라스페이스 대표. /경기도
경기기후위성은 온실가스 배출량 등 기후 관련 데이터와 고해상·고정밀 공간 정보를 수집해 각종 과학기반 정책에 쓰일 예정이다. 예를 들어 촬영된 위성사진으로 재난재해에 따른 피해 정도, 면적, 복구 현황 등을 쉽고 빠르게 파악하거나 산림 등 개발제한구역 내 불법행위, 토지이용현황을 탐지하는데도 활용할 수 있다. 또 주요 농작물의 재배지 위치와 현황 파악, 메탄가수 배출원 정밀 관측 등에도 쓸 수 있다.
위성 발사는 작년 8월 김동연 경기지사가 “지방정부가 가속화되는 기후위기에 과학적으로 대응하겠다”고 밝히며 추진됐다.
위성은 경기도가 민간업체인 나라스페이스와 함께 설계·제작했다. 이미 개발되거나 입증된 기술을 사용하는 민간 주도 방식이라, 상대적으로 적은 비용과 빠른 시간 안에 위성을 발사할 수 있었다고 한다. 경기기후위성은 총 3기로 구성된다. 이번에 발사한 1호기는 광학위성, 나머지 2기는 온실가스 관측위성이다. 위성 발사 및 운용에는 경기도 예산 45억원, 민간업체 예산 144억원 등 모두 189억원이 들었다. 내년에는 2호기(GYEONGGISat-2A)와 3호기(GYEONGGISat-2B)도 순차적으로 발사될 예정이다.
위성체 안에는 추첨을 통해 선정된 도민 500명의 이름이 새겨져있다. 경기도 관계자는 “이제 우주에도 경기도가 있는 것”이라고 했다.
‘경기기후위성’ 1호기 발사를 하루 앞둔 지난 25일 경기 수원시 영통구 경기신용보증재단 도민쉼터에 마련된 경기기후위성 임시상황실에서 시민들이 '경기기후위성' 모형을 살펴보고 있다. /뉴스1
경기도는 도청 옆 경기신용보증재단 도민쉼터에 ‘기후위성 임시상황실’도 운영하고 있다. 도민 누구나 경기기후위성 제작부터 발사까지의 과정과 기대 효과 등 설명을 한눈에 볼 수 있다.
김 지사는 “위성으로 수집한 데이터는 기후위기의 과학적 대응뿐만 아니라 기후테크 산업 육성에도 커다란 전환점이 될 것”이라며 “지방정부 최초로 민간과 함께 쏘아올린 경기기후위성도 대한민국의 뉴 스페이스 시대를 함께 여는 ‘우주 동반자’가 되겠다”고 했다.
한편 위성 발사는 스페이스X의 미국 현지 사정으로 지난 12일에서 20일, 21일, 27일, 29일로 모두 4차례 미뤄지기도 했다.",온실가스
경기일보,"지자체 위성 시대 개막…경기도, 기후위성으로 과학도정 선도",네이버뉴스,https://n.news.naver.com/mnews/article/666/0000089255?sid=100,,경기일보,[영상] 경기기후위성 발사 성공… 김동연 “경기도 우주 시대 개막”,"金지사, 구상 1년3개월만에 실현
美 스페이스X 로켓 실려 궤도 안착
도심·생태계 변화 탐지, 데이터 수집
경기도가 자체 개발한 기후 위성 발사에 성공하며 지방정부 최초로 우주 기술 시대를 열었다.
30일 경기일보 취재를 종합하면 김동연 경기도지사는 29일 경기도신용보증재단 도민쉼터에서 열린 기후위성 발사 보고회에서 “경기도의 영역이 우주로까지 확장됐다”며 경기기후위성 1호기(GYEONGGISat-1)의 발사 성공 소식을 전했다.
경기기후위성 1호기는 29일 오전 3시44분 미국 캘리포니아 밴덴버그 우주군기지에서 스페이스X의 팰컨9 로켓에 실려 발사됐다. 위성은 56분만인 오전 4시40분 팰컨9로켓에서 분리돼 궤도에 성공적으로 올랐다.
경기기후위성 1호기가 29일 오전 3시44분 미국 캘리포니아 밴덴버그 우주군기지에서 스페이스X 팰컨9 로켓에 실려 발사되고 있다. 스페이스X
김 지사는 “이번 위성은 도시 관리, 농업, 에너지 등 경기도 전역에 실질적인 변화를 줄 것”이라며 “위성 데이터는 민간에도 개방해 기후테크 스타트업과 관련 산업 생태계를 키우는 데 기여할 것”이라고 강조했다. 이어 “위성 개발 과정에는 AI, 빅데이터, 통신, 정밀기기, 디스플레이 등 다양한 산업의 기술이 집약돼 있다”며 “이번 발사는 경기도 미래 먹거리 창출뿐 아니라 도민 삶의 질을 높이는 데도 큰 역할을 할 것”이라고 덧붙였다.
이번 발사는 김 지사가 지난해 8월 기자간담회에서 기후위성 발사 구상을 내놓은 지 1년3개월만에 실현된 결과다. 당시 김 지사는 기후위성과 기후보험, 기후펀드를 경기도의 3대 기후 프로젝트로 제시한 바 있다.
29일 오전 경기도신용보증재단 도민쉼터에서 열린 기후위성 발사 보고회에서 김동연 경기도지사가 인사말씀 및 결과 브리핑을 하고 있다. 경기도 제공
도내 기후 변화 및 도심과 생태계의 변화를 탐지할 경기기후위성은 총 3기로 구성됐다. 광학위성인 1호기는 지구 저궤도에서 3년간 운용되며, 경기도 전역의 기후·환경 데이터를 정밀하게 수집한다. 이번 기후위성은 ▲벼 재배지 모니터링▲개발제한구역 내 변화 모니터링 ▲토지이용 현황 정밀 모니터링▲재난재해 대응 ▲메탄 배출원 관측 등으로 활용될 예정이다. 온실가스 관측위성 2기는 각각 내년 상반기와 후년 하반기에 발사될 예정이다.",온실가스
전자신문,경기도 지방정부 최초 추진 기후위성 목표 궤도 안착,네이버뉴스,https://n.news.naver.com/mnews/article/030/0003375448?sid=102,,전자신문,"지자체 위성 시대 개막…경기도, 기후위성으로 과학도정 선도","국내 지자체 최초 '경기기후위성 1호' 발사 성공
산불·홍수·열섬 실시간 관측, AI 연계 재난 대응 체계 구축
경기기후위성 모습.
경기도가 국내 지방자치단체 최초로 자체 기후위성을 우주로 쏘아 올리며 '우주 기반 기후·재난 감시체계' 구축에 본격 나섰다.
경기도는 29일 오전 3시44분(한국시간) 미국 캘리포니아주 반덴버그 우주군기지에서 '경기기후위성 1호기(GYEONGGISat-1)'가 민간 발사체 운용사 스페이스X의 팰컨9 로켓에 실려 발사됐다고 30일 밝혔다.
발사 약 1시간 뒤 위성은 고도 약 525㎞ 태양동기궤도에 진입했고, 첫 교신도 성공해 궤도 안착이 확인됐다.
경기기후위성 1호기는 경기도가 기후·환경 데이터를 자체 생산해 정책에 활용하기 위해 추진한 '경기기후위성 사업'의 첫 기체다. 지방정부가 독자 기후위성을 개발·발사한 것은 국내에서 처음으로, 중앙정부·연구기관 중심이던 우주 활용이 광역자치단체 차원으로 확대되는 분기점이라는 평가가 나온다.
위성은 무게 약 25㎏인 초소형 광학위성으로, 16U(큐브위성 규격) 본체에 고해상도 다분광탑재체와 고속 데이터 처리 장치를 실었다. 지구 저궤도 500㎞ 상공에서 경기도 상공을 통과할 때마다 한 번에 약 14×40㎞ 구간을 촬영하며, 가시광선·근적외선 영상을 통해 토지 이용, 식생, 토지 피복 변화를 정밀 관측한다.
경기도는 이 위성을 활용해 산불·홍수·산사태 같은 자연재해는 물론 불법 산림·토지 훼손, 도시 열섬, 미세먼지 확산 패턴 등 기후·환경 문제를 입체적으로 분석한다는 구상이다. 위성 영상과 지상 관측자료, 기상 데이터를 통합해 '경기기후플랫폼(가칭)'과 연계하고, 온실가스 감축, 도시·산림·농업 분야 기후변화 영향 평가, 재난 대응 정책 수립에 활용할 계획이다.
운영 기간은 기본 3년으로 설계됐으며 성능과 궤도 여건에 따라 임무 연장도 검토한다. 위성은 탑재 태양전지판으로 전력을 공급받으며, 하루 수차례 경기도 상공을 지나면서 관측 자료를 지상국으로 전송한다.
경기도는 1호기(광학위성)를 시작으로, 온실가스 관측에 특화된 2·3호 위성(GYEONGGISat-2A·2B)을 2026년부터 순차 발사할 예정이다. 후속 위성에는 메탄(CH₄) 등 주요 온실가스 농도를 측정하는 분광센서를 탑재해 산업단지·도시권 배출원을 추적하고, 국가·지자체 탄소중립 전략 수립을 지원하는 역할을 맡긴다.
경기도는 위성 발사를 계기로 기후·재난 분야 '과학 기반 행정'을 강화한다는 방침이다. 위성·드론·스캐닝 라이다 등에서 나오는 관측 데이터를 인공지능(AI) 분석과 결합해 산불, 침수, 산사태 위험 지역을 조기에 파악하고, 도로·하천·산림 관리 정책과 연계하는 통합 감시 체계를 구축하겠다는 구상이다.
차성수 도 기후환경에너지국장은 “감회가 새롭다. 지방정부 최초로 기후위성을 준비한 지난 1년여 기간이 주마등처럼 스쳐 간다”며 “기후위성은 기후정책 과학화의 상징으로 경기도뿐 아니라 중앙정부도 기후위성 사업을 같이해 군집위성이 됐으면 한다”고 말했다",온실가스
뉴시스,"양천구, 에코마일리지 평가 6년 연속 최우수구",네이버뉴스,https://n.news.naver.com/mnews/article/003/0013629492?sid=102,,뉴시스,"양천구, 에코마일리지 평가 6년 연속 최우수구","적극적 홍보로 에너지 절감 동참 확대
[서울=뉴시스] 양천구, 에코마일리지 가입 홍보활동 현장. 2025.11.30. (사진=양천구 제공) *재판매 및 DB 금지
[서울=뉴시스] 박대로 기자 = 서울 양천구(구청장 이기재)는 '2025년 서울시 에코마일리지 사업 자치구 평가'에서 신규 가입 5400여건을 기록하며 6년 연속 최우수구에 선정됐다고 30일 밝혔다.
에코마일리지는 전기·수도·가스 사용량을 6개월간 과거 대비 5% 이상 절감하면 연 최대 10만 마일리지를 지급하는 서울시 대표 탄소 중립 참여 제도다.
적립된 마일리지는 온누리·서울사랑상품권, 아파트 관리비, 서울시 세금(E-TAX) 납부, 현금 전환 등에 활용할 수 있다.
올해 평가는 신규 회원 등록, 전산 처리, 홍보 활동, 건물 신고 등급제 추진 등 4개 항목으로 진행됐다.
구는 전 항목에서 우수한 성과를 거뒀다. 동 주민센터와 연계한 홍보 강화와 단체 회원 모집 확대에서 높은 평가를 받았다.
구는 공동 주택 단지와 미가입 사업장을 직접 방문하고 양천마라톤대회 등 주민 밀집 행사에서 203회에 걸친 현장 홍보를 추진해 평가 기간(지난해 10월~올해 9월) 동안 개인 4849명, 사업장·단체 537곳 신규 가입을 이끌었다.
신규 확보가 어려운 단체 회원 분야에서는 목표치를 100% 이상 초과 달성했다.
구는 서울시가 실시한 '2025년 하반기 에코마일리지 우수단체 평가'에서도 두각을 나타냈다. 관내 단체 2곳(현대백화점 목동점, 양천중앙교회)이 에너지 절감 성과를 인정받아 '최우수 단체'로 선정됐다.
이번 평가에서 최우수 등급을 받은 단체는 양천구 2곳이 유일하다. 이들 단체는 LED 조명 등 고효율 설비 운영, ESG 실천 캠페인, 상시 에너지 사용 관리 등을 통해 탄소 배출 저감에 기여한 점을 인정받았다.
구는 두 기관에 인증표지와 감사장을 전달하고 총 1600만원 인센티브를 지급했다. 해당 인센티브는 온실가스 감축 사업비 등에 재투자해 지역 내 에너지 절약 선순환을 강화할 계획이다.
에코마일리지는 가까운 동 주민센터와 구청 환경과 또는 에코마일리지 홈페이지에서 상시 접수 중이며 서울시민 누구나 가입할 수 있다.
이기재 양천구청장은 ""6년 연속 에코마일리지 사업 최우수구 선정은 에너지 절약에 적극 동참한 구민들과 모범적인 실천을 보여준 지역 단체가 함께 이뤄낸 성과""라며 ""앞으로도 다양한 온실가스 감축 프로그램을 추진해 기후 위기 대응과 탄소 중립 실현을 선도하겠다""고 말했다.",온실가스
